file,rows,dup,bad_ohlc,bad_price,zero_volume,first,last
000002_万 科Ａ,3200,0,0,116,0,2012-11-16,2026-09-01
000048_京基智农,3200,0,0,98,0,2012-09-26,2026-09-01
000156_华数传媒,3200,0,0,3,0,2006-03-29,2026-09-01
000333_美的集团,3086,0,0,571,0,2013-09-18,2026-09-01
000338_潍柴动力,3200,0,0,297,0,2013-07-03,2026-09-01
000403_派林生物,3200,0,0,160,0,2006-03-21,2026-09-01
000408_藏格矿业,3200,0,0,497,0,2012-08-29,2026-09-01
000429_粤高速Ａ,3200,0,0,502,0,2013-03-06,2026-09-01
000513_丽珠集团,3200,0,0,1,0,2013-03-11,2026-09-01
000568_泸州老窖,3200,0,0,808,0,2013-06-07,2026-09-01
000596_古井贡酒,3200,0,0,341,0,2013-07-05,2026-09-01
000651_格力电器,3200,0,0,769,0,2012-11-06,2026-09-01
000672_上峰材料,3200,0,0,293,0,2006-11-14,2026-09-01
000708_中信特钢,3200,0,0,439,0,2013-01-14,2026-09-01
000789_万年青,3200,0,0,3,0,2013-07-08,2026-09-01
000828_东莞控股,3200,0,0,1,0,2013-05-02,2026-09-01
000830_鲁西化工,3200,0,0,548,0,2013-06-24,2026-09-01
000858_五 粮 液,3200,0,0,727,0,2013-04-03,2026-09-01
000895_双汇发展,3200,0,0,5,0,2013-06-17,2026-09-01
000932_华菱钢铁,3200,0,0,341,0,2012-10-26,2026-09-01
000933_神火股份,3200,0,0,237,0,2013-06-04,2026-09-01
000937_冀中能源,3200,0,0,664,0,2013-06-27,2026-09-01
000951_中国重汽,3200,0,0,48,0,2013-07-08,2026-09-01
002001_新 和 成,3200,0,0,216,0,2013-06-18,2026-09-01
002003_伟星股份,3200,0,0,469,0,2013-02-20,2026-09-01
002014_永新股份,3200,0,0,197,0,2013-01-25,2026-09-01
002027_分众传媒,3200,0,0,415,0,2013-02-18,2026-09-01
002030_达安基因,3200,0,0,87,0,2013-04-12,2026-09-01
002032_苏 泊 尔,3200,0,0,612,0,2013-07-05,2026-09-01
002043_兔 宝 宝,3200,0,0,411,0,2013-01-11,2026-09-01
002050_三花智控,3200,0,0,145,0,2013-01-10,2026-09-01
002056_横店东磁,3200,0,0,4,0,2013-06-27,2026-09-01
002080_中材科技,3200,0,0,10,0,2012-12-24,2026-09-01
002085_万丰奥威,3200,0,0,74,0,2013-01-29,2026-09-01
002088_鲁阳节能,3200,0,0,336,0,2013-03-20,2026-09-01
002110_三钢闽光,3200,0,0,657,0,2012-05-11,2026-09-01
002142_宁波银行,3200,0,0,10,0,2013-06-26,2026-09-01
002179_中航光电,3200,0,0,8,0,2013-07-08,2026-09-01
002206_海 利 得,3200,0,0,42,0,2013-06-03,2026-09-01
002233_塔牌集团,3200,0,0,26,0,2013-05-07,2026-09-01
002242_九阳股份,3200,0,0,132,0,2013-05-27,2026-09-01
002271_东方雨虹,3200,0,0,35,0,2013-07-01,2026-09-01
002293_罗莱生活,3200,0,0,15,0,2013-06-05,2026-09-01
002304_洋河股份,3200,0,0,150,0,2013-07-08,2026-09-01
002352_顺丰控股,3200,0,0,2,0,2013-04-23,2026-09-01
002372_伟星新材,3200,0,0,457,0,2013-07-08,2026-09-01
002415_海康威视,3200,0,0,170,0,2013-04-25,2026-09-01
002432_九安医疗,3200,0,0,80,0,2013-05-09,2026-09-01
002460_赣锋锂业,3200,0,0,223,0,2013-03-08,2026-09-01
002463_沪电股份,3200,0,0,4,0,2013-07-08,2026-09-01
002516_旷达科技,3200,0,0,11,0,2013-05-08,2026-09-01
002533_金杯电工,3200,0,0,1,0,2013-05-30,2026-09-01
002540_亚太科技,3200,0,0,1,0,2013-06-21,2026-09-01
002543_万和电气,3200,0,0,6,0,2013-05-17,2026-09-01
002555_三七互娱,3200,0,0,359,0,2012-05-11,2026-09-01
002572_索菲亚,3200,0,0,26,0,2013-05-29,2026-09-01
002597_金禾实业,3200,0,0,257,0,2013-05-21,2026-09-01
002601_龙佰集团,3200,0,0,570,0,2013-01-25,2026-09-01
002626_金达威,3200,0,0,179,0,2013-02-25,2026-09-01
002677_浙江美大,3200,0,0,373,0,2013-03-20,2026-09-01
002709_天赐材料,3038,0,0,19,0,2014-01-23,2026-09-01
002714_牧原股份,3037,0,0,379,0,2014-01-28,2026-09-01
002756_永兴材料,2613,0,0,85,0,2015-05-15,2026-09-01
002833_弘亚数控,2350,0,0,1,0,2016-12-28,2026-09-01
002847_盐津铺子,2326,0,0,1,0,2017-02-08,2026-09-01
300009_安科生物,3200,0,0,33,0,2012-12-07,2026-09-01
300014_亿纬锂能,3200,0,0,10,0,2013-04-16,2026-09-01
300033_同花顺,3200,0,0,341,0,2013-07-05,2026-09-01
300274_阳光电源,3200,0,0,67,0,2013-06-03,2026-09-01
300296_利亚德,3200,0,0,28,0,2012-10-09,2026-09-01
300308_中际旭创,3200,0,0,224,0,2012-10-22,2026-09-01
300316_晶盛机电,3200,0,0,55,0,2013-01-25,2026-09-01
300327_中颖电子,3200,0,0,8,0,2013-07-01,2026-09-01
300390_天华新能,2869,0,0,132,0,2014-07-31,2026-09-01
300394_天孚通信,2792,0,0,1,0,2015-02-17,2026-09-01
300450_先导智能,2598,0,0,5,0,2015-05-18,2026-09-01
300573_兴齐眼药,2364,0,0,40,0,2016-12-08,2026-09-01
